iter	Passed	Remaining
868	1094	165
869	1100	164
870	1102	163
871	1104	162
872	1105	160
873	1106	159
874	1106	158
875	1109	157
876	1112	156
877	1115	154
878	1116	153
879	1117	152
880	1118	151
881	1119	149
882	1120	148
883	1121	147
884	1123	145
885	1124	144
886	1126	143
887	1127	142
888	1128	140
889	1130	139
890	1131	138
891	1134	137
892	1135	136
893	1136	134
894	1138	133
895	1139	132
896	1141	131
897	1143	129
898	1144	128
899	1145	127
900	1147	126
901	1148	124
902	1149	123
903	1151	122
904	1151	120
905	1152	119
906	1153	118
907	1154	117
908	1156	115
909	1158	114
910	1159	113
911	1160	112
912	1161	110
913	1162	109
914	1163	108
915	1166	106
916	1167	105
917	1169	104
918	1170	103
919	1172	101
920	1173	100
921	1176	99
922	1177	98
923	1179	96
924	1180	95
925	1181	94
926	1184	93
927	1185	91
928	1186	90
929	1187	89
930	1188	88
931	1189	86
932	1190	85
933	1191	84
934	1192	82
935	1193	81
936	1194	80
937	1195	79
938	1197	77
939	1198	76
940	1199	75
941	1200	73
942	1201	72
943	1202	71
944	1205	70
945	1208	69
946	1212	67
947	1213	66
948	1214	65
949	1215	63
950	1216	62
951	1218	61
952	1219	60
953	1220	58
954	1220	57
955	1221	56
956	1222	54
957	1224	53
958	1225	52
959	1226	51
960	1227	49
961	1228	48
962	1229	47
963	1230	45
964	1231	44
965	1232	43
966	1233	42
967	1234	40
968	1234	39
969	1235	38
970	1236	36
971	1237	35
972	1238	34
973	1239	33
974	1240	31
975	1241	30
976	1242	29
977	1243	27
978	1243	26
979	1244	25
980	1245	24
981	1246	22
982	1248	21
983	1249	20
984	1249	19
985	1250	17
986	1251	16
987	1253	15
988	1254	13
989	1256	12
990	1256	11
991	1257	10
992	1258	8
993	1259	7
994	1260	6
995	1261	5
996	1262	3
997	1262	2
998	1263	1
999	1264	0
